year,sessions,benchmark_return,annual_volatility,downside_volatility,max_drawdown,worst_day,best_day,rank_volatility,rank_downside_vol,rank_drawdown,rank_bad_return,stress_score
2022,249,-0.43427970557307793,0.32727813339856704,0.23111806144817387,-0.49377990430621743,-0.0693215339233037,0.0695364238410596,5.0,6.0,1.0,1.0,13.0
2023,249,-0.17100371747211518,0.33349586120586105,0.23610406172028042,-0.4656084656084649,-0.0699999999999999,0.0699029126213592,4.0,5.0,2.0,2.0,13.0
2026,125,0.30129716981132426,0.5561661857114776,0.3747807977438976,-0.320670391061452,-0.0699760765550239,0.0699013157894736,1.0,1.0,5.0,9.0,16.0
2020,252,-0.059088241048713463,0.3239945644396483,0.26219728032546885,-0.37990243902438925,-0.0697615423642821,0.0698552548772812,6.0,4.0,3.0,4.0,17.0
2018,250,0.492074674181058,0.34014157481783963,0.2838304798043722,-0.23652875882946478,-0.0700944386149002,0.06993006993007,3.0,3.0,6.0,10.0,22.0
2021,250,-0.011228945726759587,0.31773365012351573,0.2214359594730496,-0.33124999999999905,-0.0699819981998199,0.0697727272727273,7.0,7.0,4.0,5.0,23.0
2025,249,7.367044893931935,0.4876287991606327,0.32031215192166795,-0.17464788732394354,-0.0699999999999999,0.0699999999999998,2.0,2.0,9.0,12.0,25.0
2024,250,-0.09103139013452533,0.218364483728992,0.15078254260016258,-0.1752577319587606,-0.0533333333333333,0.0697343453510437,10.0,9.0,8.0,3.0,30.0
2016,251,0.2504051863857426,0.2785973754621611,0.18299272691082974,-0.18738629472407475,-0.0589887640449438,0.0681818181818181,8.0,8.0,7.0,8.0,31.0
2017,250,0.8399222294232103,0.25005383249161833,0.1437250227260233,-0.13892145369284792,-0.0427672955974842,0.068649885583524,9.0,10.0,10.0,11.0,40.0
2015,247,0.20743639921722856,0.2060464334431161,0.10572259282593294,-0.1311343523732892,-0.0459363957597173,0.0568181818181818,11.0,12.0,11.0,7.0,41.0
2019,250,0.20656279508971176,0.19163091535423052,0.1291639649529731,-0.10127991096271494,-0.0491554785621481,0.0533522190745985,12.0,11.0,12.0,6.0,41.0
